165.png	old woman: medium skin tone	👵🏽️	\U0001F475\U0001F3FD\U0000FE0F	U+1F475 U+1F3FD	old woman: medium skin tone
166.png	old woman: medium-dark skin tone	👵🏾️	\U0001F475\U0001F3FE\U0000FE0F	U+1F475 U+1F3FE	old woman: medium-dark skin tone
167.png	old woman: dark skin tone	👵🏿️	\U0001F475\U0001F3FF\U0000FE0F	U+1F475 U+1F3FF	old woman: dark skin tone
168.png	man health worker	👨‍⚕️️	\U0001F468\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2695 U+FE0F	man health worker
169.png	man health worker: light skin tone	👨🏻‍⚕️️	\U0001F468\U0001F3FB\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+1F3FB U+200D U+2695 U+FE0F	man health worker: light skin tone
170.png	man health worker: medium-light skin tone	👨🏼‍⚕️️	\U0001F468\U0001F3FC\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+1F3FC U+200D U+2695 U+FE0F	man health worker: medium-light skin tone
171.png	man health worker: medium skin tone	👨🏽‍⚕️️	\U0001F468\U0001F3FD\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+1F3FD U+200D U+2695 U+FE0F	man health worker: medium skin tone
172.png	man health worker: medium-dark skin tone	👨🏾‍⚕️️	\U0001F468\U0001F3FE\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+1F3FE U+200D U+2695 U+FE0F	man health worker: medium-dark skin tone
173.png	man health worker: dark skin tone	👨🏿‍⚕️️	\U0001F468\U0001F3FF\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+1F3FF U+200D U+2695 U+FE0F	man health worker: dark skin tone
174.png	woman health worker	👩‍⚕️️	\U0001F469\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2695 U+FE0F	woman health worker
175.png	woman health worker: light skin tone	👩🏻‍⚕️️	\U0001F469\U0001F3FB\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+1F3FB U+200D U+2695 U+FE0F	woman health worker: light skin tone
176.png	woman health worker: medium-light skin tone	👩🏼‍⚕️️	\U0001F469\U0001F3FC\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+1F3FC U+200D U+2695 U+FE0F	woman health worker: medium-light skin tone
177.png	woman health worker: medium skin tone	👩🏽‍⚕️️	\U0001F469\U0001F3FD\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+1F3FD U+200D U+2695 U+FE0F	woman health worker: medium skin tone
178.png	woman health worker: medium-dark skin tone	👩🏾‍⚕️️	\U0001F469\U0001F3FE\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+1F3FE U+200D U+2695 U+FE0F	woman health worker: medium-dark skin tone
179.png	woman health worker: dark skin tone	👩🏿‍⚕️️	\U0001F469\U0001F3FF\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+1F3FF U+200D U+2695 U+FE0F	woman health worker: dark skin tone
180.png	man student	👨‍🎓️	\U0001F468\U0000200D\U0001F393\U0000FE0F	U+1F468 U+200D U+1F393	man student
181.png	man student: light skin tone	👨🏻‍🎓️	\U0001F468\U0001F3FB\U0000200D\U0001F393\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F393	man student: light skin tone
182.png	man student: medium-light skin tone	👨🏼‍🎓️	\U0001F468\U0001F3FC\U0000200D\U0001F393\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F393	man student: medium-light skin tone
183.png	man student: medium skin tone	👨🏽‍🎓️	\U0001F468\U0001F3FD\U0000200D\U0001F393\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F393	man student: medium skin tone
184.png	man student: medium-dark skin tone	👨🏾‍🎓️	\U0001F468\U0001F3FE\U0000200D\U0001F393\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F393	man student: medium-dark skin tone
185.png	man student: dark skin tone	👨🏿‍🎓️	\U0001F468\U0001F3FF\U0000200D\U0001F393\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F393	man student: dark skin tone
186.png	woman student	👩‍🎓️	\U0001F469\U0000200D\U0001F393\U0000FE0F	U+1F469 U+200D U+1F393	woman student
187.png	woman student: light skin tone	👩🏻‍🎓️	\U0001F469\U0001F3FB\U0000200D\U0001F393\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F393	woman student: light skin tone
188.png	woman student: medium-light skin tone	👩🏼‍🎓️	\U0001F469\U0001F3FC\U0000200D\U0001F393\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F393	woman student: medium-light skin tone
189.png	woman student: medium skin tone	👩🏽‍🎓️	\U0001F469\U0001F3FD\U0000200D\U0001F393\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F393	woman student: medium skin tone
190.png	woman student: medium-dark skin tone	👩🏾‍🎓️	\U0001F469\U0001F3FE\U0000200D\U0001F393\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F393	woman student: medium-dark skin tone
191.png	woman student: dark skin tone	👩🏿‍🎓️	\U0001F469\U0001F3FF\U0000200D\U0001F393\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F393	woman student: dark skin tone
192.png	man teacher	👨‍🏫️	\U0001F468\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+200D U+1F3EB	man teacher
193.png	man teacher: light skin tone	👨🏻‍🏫️	\U0001F468\U0001F3FB\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F3EB	man teacher: light skin tone
194.png	man teacher: medium-light skin tone	👨🏼‍🏫️	\U0001F468\U0001F3FC\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F3EB	man teacher: medium-light skin tone
195.png	man teacher: medium skin tone	👨🏽‍🏫️	\U0001F468\U0001F3FD\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F3EB	man teacher: medium skin tone
196.png	man teacher: medium-dark skin tone	👨🏾‍🏫️	\U0001F468\U0001F3FE\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F3EB	man teacher: medium-dark skin tone
197.png	man teacher: dark skin tone	👨🏿‍🏫️	\U0001F468\U0001F3FF\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F3EB	man teacher: dark skin tone
